Severity,Marker Colour,Number of Vehicles,Number of Casualties,Date,Day,a_date_mon,Time Hour,Time Minutes,Road Class,road_type,speed_limi,junc_det,junc_ctrl,road2_class,light_cond,weather,road_surf,Postcode,Latitude,Longitude
Serious,large_blue,2,1,10/02/2011,Thursday,February,8,20,A,Single carriageway - 2 lanes,30,T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Other,Dry,EH42BS,55.957808,-3.250108
Serious,large_blue,2,1,19/02/2011,Saturday,February,11,28,Unclassified,Single carriageway - 2 lanes,30,T' or staggered junction,Give way sign or markings,B,Daylight: no street lighting,Raining (without high winds),Dry,EH35LP,55.964675,-3.20299
Serious,large_blue,2,1,21/02/2011,Monday,February,16,40,A,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH38HA,55.948106,-3.211252
Serious,large_blue,2,1,09/03/2011,Wednesday,March,7,19,Unclassified,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH66NE,55.978662,-3.173399
Serious,large_blue,1,1,11/03/2011,Friday,March,16,42,A,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH22HG,55.950516,-3.200053
Serious,large_blue,2,1,13/03/2011,Sunday,March,10,50,C,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH35DQ,55.959976,-3.201066
Serious,large_blue,2,1,14/04/2011,Thursday,April,7,47,C,Single carriageway - 2 lanes,30,T' or staggered junction,Give way sign or markings,Unclassified,Daylight: no street lighting,Fine (without high winds),Dry,EH67QP,55.970864,-3.151461
Serious,large_blue,1,1,18/04/2011,Monday,April,18,0,Unclassified,Unknown,20,Not at or within 20 metres of junction,unset,\,Daylight: street lighting unknown,Fine (without high winds),Dry,EH45ES,55.964883,-3.273922
Fatal,large_red,2,1,28/04/2011,Thursday,April,7,51,B,Single carriageway - 2 lanes,30,T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH74LG,55.966968,-3.188883
Serious,large_blue,2,1,19/05/2011,Thursday,May,15,0,Unclassified,Single carriageway - 2 lanes,30,Crossroads,Stop sign,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH92DX,55.932537,-3.192518
Serious,large_blue,2,1,01/06/2011,Wednesday,June,12,40,Unclassified,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH105SQ,55.918321,-3.216499
Serious,large_blue,1,1,03/06/2011,Friday,June,8,43,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH11BB,55.951961,-3.189944
Serious,large_blue,2,1,17/06/2011,Friday,June,20,24,B,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH13SB,55.958099,-3.189908
Serious,large_blue,2,1,21/06/2011,Tuesday,June,7,35,Unclassified,Single carriageway - 2 lanes,30,T' or staggered junction,Give way sign or markings,A,Daylight: street lights present,Other,Dry,EH104EX,55.936828,-3.206785
Serious,large_blue,2,1,21/07/2011,Thursday,July,16,50,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH42QX,55.965118,-3.242606
Serious,large_blue,2,1,22/07/2011,Friday,July,7,30,C,Single carriageway - 2 lanes,30,T' or staggered junction,Give way sign or markings,Unclassified,Daylight: no street lighting,Fine (without high winds),Dry,EH91LR,55.939392,-3.186036
Serious,large_blue,1,1,03/08/2011,Wednesday,August,13,45,B,Single carriageway - 2 lanes,60,Not at or within 20 metres of junction,unset,\,Daylight: no street lighting,Fine (without high winds),Dry,EH299EF,55.951848,-3.42738
Fatal,large_red,2,1,09/08/2011,Tuesday,August,18,42,A,Single carriageway - 2 lanes,30,T' or staggered junction,Give way sign or markings,Unclassified,Daylight: no street lighting,Fine (without high winds),Dry,EH76PX,55.95843,-3.137685
Serious,large_blue,2,1,15/08/2011,Monday,August,8,45,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH53EL,55.976209,-3.201473
Serious,large_blue,2,1,30/08/2011,Tuesday,August,17,50,Unclassified,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH141BY,55.923934,-3.236615
Serious,large_blue,2,1,11/09/2011,Sunday,September,11,35,Unclassified,Single carriageway - 2 lanes,30,T' or staggered junction,Give way sign or markings,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH46DP,55.965216,-3.315391
Serious,large_blue,2,1,18/09/2011,Sunday,September,15,0,Unclassified,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH105BT,55.929848,-3.226608
Serious,large_blue,2,1,21/09/2011,Wednesday,September,8,40,C,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,Daylight: street lights present,Fine (without high winds),Dry,EH92NJ,55.932554,-3.177696
Serious,large_blue,2,1,21/09/2011,Wednesday,September,8,45,B,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine with high winds,Dry,EH41HX,55.958923,-3.212262
Serious,large_blue,2,1,22/09/2011,Thursday,September,7,20,A,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,Daylight: street lights present,Fine (without high winds),Dry,EH22EJ,55.952288,-3.193317
